Obs_Number,Output,TimePoint
250,99.6198,249
251,100.4982,250
252,101.7668,251
253,102.824,252
254,100.8255,253
255,101.5979,254
256,101.6813,255
257,103.1887,256
258,104.3189,257
259,105.209,258
260,104.4482,259
261,104.4354,260
262,105.0632,261
263,104.155,262
264,107.0797,263
265,103.3038,264
266,104.94,265
267,106.5477,266
268,104.2284,267
269,103.6625,268
270,103.0653,269
271,102.7585,270
272,103.7816,271
273,99.6288,272
274,102.7769,273
275,99.2027,274
276,99.7333,275
277,98.9441,276
278,99.3451,277
279,96.5613,278
280,98.0534,279
281,99.0854,280
282,95.2141,281
283,96.3371,282
284,95.1164,283
285,95.9018,284
286,95.2639,285
287,94.4471,286
288,95.4977,287
289,96.8142,288
290,94.8977,289
291,95.9645,290
292,94.1826,291
293,94.8219,292
294,96.6198,293
295,98.0614,294
296,97.4167,295
297,97.2782,296
298,98.1587,297
299,97.5061,298
300,99.9778,299
301,100.8823,300
302,100.1746,301
303,100.7734,302
304,102.1065,303
305,101.972,304
306,102.8728,305
307,105.5225,306
308,103.6055,307
309,103.8633,308
310,103.8766,309
311,105.4995,310
312,104.7302,311
313,104.3408,312
314,106.3114,313
315,106.331,314
316,104.1549,315
317,102.6576,316
318,105.2292,317
319,103.1679,318
320,104.2134,319
321,100.9688,320
322,103.3014,321
323,100.6295,322
324,101.9742,323
325,100.6409,324
326,99.0461,325
327,98.9663,326
328,99.4429,327
329,98.2653,328
330,98.1756,329
331,99.0375,330
332,95.013,331
333,97.7646,332
334,95.8827,333
335,94.5771,334
336,93.9144,335
337,94.8994,336
338,95.9315,337
339,94.8823,338
340,96.5997,339
341,93.7935,340
342,95.4638,341
343,94.526,342
344,96.5111,343
345,97.4642,344
346,96.6403,345
347,94.987,346
348,98.3583,347
349,99.1933,348
350,99.7776,349
351,101.2358,350
352,99.5556,351
353,101.9237,352
354,103.0331,353
355,100.6302,354
356,103.2586,355
357,102.9186,356
358,103.771,357
359,104.5693,358
360,104.0369,359
361,104.0796,360
362,104.9456,361
363,103.9029,362
364,103.9043,363
365,105.5908,364
366,103.6065,365
367,105.1904,366
368,104.6842,367
369,102.1268,368
370,102.7452,369
371,104.133,370
372,101.4276,371
373,101.3762,372
374,101.7055,373
375,101.4101,374
376,99.7485,375
377,98.7758,376
378,100.1789,377
379,99.8983,378
380,98.5701,379
381,97.1464,380
382,95.769,381
383,95.317,382
384,96.3009,383
385,95.8943,384
386,96.6463,385
387,95.739,386
388,93.5068,387
389,96.0618,388
390,94.0905,389
391,94.8607,390
392,95.7261,391
393,97.774,392
394,99.2574,393
395,97.184,394
396,96.8779,395
397,98.1257,396
398,99.047,397
399,98.4359,398
400,101.1685,399
401,100.2301,400
402,101.1244,401
403,101.9094,402
404,102.2622,403
405,103.2477,404
406,102.3217,405
407,102.8644,406
408,102.7524,407
409,104.6611,408
410,105.3031,409
411,105.2131,410
412,106.5859,411
413,104.9845,412
414,105.6589,413
415,103.8197,414
416,104.3682,415
417,105.2197,416
418,105.0707,417
419,103.5586,418
420,103.3511,419
421,101.4211,420
422,102.0517,421
423,102.731,422
424,101.8187,423
425,101.1273,424
426,100.0498,425
427,99.3804,426
428,98.0962,427
429,98.8582,428
430,98.0122,429
431,97.5531,430
432,96.0512,431
433,93.9941,432
434,96.8755,433
435,94.997,434
436,94.3819,435
437,95.782,436
438,94.6179,437
439,96.0698,438
440,95.7056,439
441,95.9283,440
442,94.1099,441
443,96.9903,442
444,96.4087,443
445,96.208,444
446,97.2045,445
447,95.815,446
448,98.568,447
449,97.7272,448
450,98.0207,449
451,98.4776,450
452,101.7394,451
453,100.6142,452
454,103.3744,453
455,101.873,454
456,101.2316,455
457,102.3062,456
458,105.0884,457
459,104.0657,458
460,103.9758,459
461,104.9153,460
462,105.4132,461
463,106.1075,462
464,106.4386,463
465,104.5517,464
466,103.4292,465
467,104.1107,466
468,104.4819,467
469,102.8888,468
470,102.4656,469
471,103.2827,470
472,102.3601,471
473,101.8734,472
474,100.485,473
475,100.3963,474
476,99.0758,475
477,100.2635,476
478,99.7918,477
479,96.3132,478
480,96.6617,479
481,95.5645,480
482,95.9272,481
483,96.064,482
484,94.3287,483
485,94.554,484
486,94.2408,485
487,95.2958,486
488,95.0792,487
489,94.2881,488
490,95.2654,489
491,94.698,490
492,95.2042,491
493,97.4518,492
494,97.4879,493
495,95.2777,494
496,97.8908,495
497,98.4026,496
498,97.0111,497
499,99.5753,498
500,100.9113,499
