Sample,Measurement,Time
59,50.265,2024-01-03 10:00:00
60,50.7804,2024-01-03 11:00:00
61,49.6167,2024-01-03 12:00:00
62,49.8515,2024-01-03 13:00:00
63,49.1149,2024-01-03 14:00:00
64,49.043,2024-01-03 15:00:00
65,50.65,2024-01-03 16:00:00
66,51.085,2024-01-03 17:00:00
67,49.9424,2024-01-03 18:00:00
68,50.8028,2024-01-03 19:00:00
69,50.2893,2024-01-03 20:00:00
70,49.4839,2024-01-03 21:00:00
71,50.2891,2024-01-03 22:00:00
72,51.2304,2024-01-03 23:00:00
73,49.9713,2024-01-04 00:00:00
74,51.2517,2024-01-04 01:00:00
75,47.9042,2024-01-04 02:00:00
76,50.6575,2024-01-04 03:00:00
77,50.0696,2024-01-04 04:00:00
78,49.7608,2024-01-04 05:00:00
79,50.0734,2024-01-04 06:00:00
80,48.4099,2024-01-04 07:00:00
81,49.8243,2024-01-04 08:00:00
82,50.2857,2024-01-04 09:00:00
83,51.1823,2024-01-04 10:00:00
84,49.5854,2024-01-04 11:00:00
85,49.3532,2024-01-04 12:00:00
86,49.5986,2024-01-04 13:00:00
87,50.7323,2024-01-04 14:00:00
88,50.263,2024-01-04 15:00:00
89,49.5762,2024-01-04 16:00:00
90,50.4106,2024-01-04 17:00:00
91,50.0777,2024-01-04 18:00:00
92,50.7749,2024-01-04 19:00:00
93,49.4384,2024-01-04 20:00:00
94,49.7379,2024-01-04 21:00:00
95,49.6863,2024-01-04 22:00:00
96,48.8292,2024-01-04 23:00:00
97,50.2369,2024-01-05 00:00:00
98,50.2088,2024-01-05 01:00:00
99,50.0041,2024-01-05 02:00:00
100,49.8123,2024-01-05 03:00:00
101,48.8677,2024-01-05 04:00:00
102,49.6635,2024-01-05 05:00:00
103,49.7258,2024-01-05 06:00:00
104,49.3582,2024-01-05 07:00:00
105,49.871,2024-01-05 08:00:00
106,50.3232,2024-01-05 09:00:00
107,51.5089,2024-01-05 10:00:00
108,50.1397,2024-01-05 11:00:00
109,50.206,2024-01-05 12:00:00
110,49.9404,2024-01-05 13:00:00
111,48.465,2024-01-05 14:00:00
112,49.9788,2024-01-05 15:00:00
113,50.0482,2024-01-05 16:00:00
114,51.9706,2024-01-05 17:00:00
115,49.8461,2024-01-05 18:00:00
116,50.2412,2024-01-05 19:00:00
117,49.9722,2024-01-05 20:00:00
118,49.0651,2024-01-05 21:00:00
119,50.9143,2024-01-05 22:00:00
120,50.6015,2024-01-05 23:00:00
121,50.6328,2024-01-06 00:00:00
122,49.2725,2024-01-06 01:00:00
123,51.1222,2024-01-06 02:00:00
124,48.8785,2024-01-06 03:00:00
125,50.4695,2024-01-06 04:00:00
126,51.7524,2024-01-06 05:00:00
127,49.2076,2024-01-06 06:00:00
128,49.547,2024-01-06 07:00:00
129,50.0797,2024-01-06 08:00:00
130,49.5972,2024-01-06 09:00:00
131,48.7595,2024-01-06 10:00:00
132,50.0549,2024-01-06 11:00:00
133,49.1502,2024-01-06 12:00:00
134,50.3789,2024-01-06 13:00:00
135,49.2645,2024-01-06 14:00:00
136,51.2399,2024-01-06 15:00:00
137,49.3734,2024-01-06 16:00:00
138,49.7424,2024-01-06 17:00:00
139,50.6508,2024-01-06 18:00:00
140,49.0153,2024-01-06 19:00:00
141,50.182,2024-01-06 20:00:00
142,51.0457,2024-01-06 21:00:00
143,48.714,2024-01-06 22:00:00
144,50.1477,2024-01-06 23:00:00
145,50.2079,2024-01-07 00:00:00
146,50.6255,2024-01-07 01:00:00
147,49.0104,2024-01-07 02:00:00
148,48.9436,2024-01-07 03:00:00
149,50.4176,2024-01-07 04:00:00
150,50.2376,2024-01-07 05:00:00
151,50.2004,2024-01-07 06:00:00
152,50.2772,2024-01-07 07:00:00
153,49.456,2024-01-07 08:00:00
154,50.1858,2024-01-07 09:00:00
155,50.2345,2024-01-07 10:00:00
156,49.4285,2024-01-07 11:00:00
157,51.4926,2024-01-07 12:00:00
158,50.3791,2024-01-07 13:00:00
159,49.047,2024-01-07 14:00:00
160,50.5252,2024-01-07 15:00:00
161,49.2203,2024-01-07 16:00:00
162,50.6297,2024-01-07 17:00:00
163,50.9269,2024-01-07 18:00:00
164,49.3435,2024-01-07 19:00:00
165,50.7707,2024-01-07 20:00:00
166,50.3302,2024-01-07 21:00:00
167,50.6576,2024-01-07 22:00:00
168,51.5174,2024-01-07 23:00:00
169,49.8037,2024-01-08 00:00:00
170,49.397,2024-01-08 01:00:00
171,49.2884,2024-01-08 02:00:00
172,49.3474,2024-01-08 03:00:00
173,49.9383,2024-01-08 04:00:00
174,50.2729,2024-01-08 05:00:00
175,50.2214,2024-01-08 06:00:00
176,50.6617,2024-01-08 07:00:00
177,50.0104,2024-01-08 08:00:00
178,51.1628,2024-01-08 09:00:00
179,49.7883,2024-01-08 10:00:00
180,52.1761,2024-01-08 11:00:00
181,50.5005,2024-01-08 12:00:00
182,49.3143,2024-01-08 13:00:00
183,49.1433,2024-01-08 14:00:00
184,50.386,2024-01-08 15:00:00
185,49.8212,2024-01-08 16:00:00
186,50.5712,2024-01-08 17:00:00
187,50.3786,2024-01-08 18:00:00
188,49.9417,2024-01-08 19:00:00
189,49.3226,2024-01-08 20:00:00
190,48.7881,2024-01-08 21:00:00
191,49.6428,2024-01-08 22:00:00
192,50.6851,2024-01-08 23:00:00
193,50.1713,2024-01-09 00:00:00
194,49.0034,2024-01-09 01:00:00
195,50.1385,2024-01-09 02:00:00
196,50.3083,2024-01-09 03:00:00
197,49.2929,2024-01-09 04:00:00
198,50.123,2024-01-09 05:00:00
199,50.0466,2024-01-09 06:00:00
200,49.0856,2024-01-09 07:00:00
201,50.2862,2024-01-09 08:00:00
202,50.4486,2024-01-09 09:00:00
203,50.8664,2024-01-09 10:00:00
204,50.843,2024-01-09 11:00:00
205,48.8979,2024-01-09 12:00:00
206,49.2497,2024-01-09 13:00:00
207,50.412,2024-01-09 14:00:00
208,50.411,2024-01-09 15:00:00
209,50.412,2024-01-09 16:00:00
210,53.0822,2024-01-09 17:00:00
211,50.4567,2024-01-09 18:00:00
212,50.9085,2024-01-09 19:00:00
213,50.7632,2024-01-09 20:00:00
214,50.5211,2024-01-09 21:00:00
215,49.7478,2024-01-09 22:00:00
216,50.6072,2024-01-09 23:00:00
217,49.3817,2024-01-10 00:00:00
218,49.8105,2024-01-10 01:00:00
219,49.6117,2024-01-10 02:00:00
220,50.0655,2024-01-10 03:00:00
221,51.8517,2024-01-10 04:00:00
222,48.5062,2024-01-10 05:00:00
223,50.549,2024-01-10 06:00:00
224,48.7098,2024-01-10 07:00:00
225,49.6225,2024-01-10 08:00:00
226,50.8712,2024-01-10 09:00:00
227,50.0514,2024-01-10 10:00:00
228,49.1378,2024-01-10 11:00:00
229,49.4278,2024-01-10 12:00:00
230,50.5437,2024-01-10 13:00:00
231,49.4157,2024-01-10 14:00:00
232,50.1732,2024-01-10 15:00:00
233,50.0365,2024-01-10 16:00:00
234,49.4787,2024-01-10 17:00:00
235,51.7152,2024-01-10 18:00:00
236,50.5071,2024-01-10 19:00:00
237,48.3799,2024-01-10 20:00:00
238,50.1492,2024-01-10 21:00:00
239,49.4706,2024-01-10 22:00:00
240,50.6819,2024-01-10 23:00:00
241,49.366,2024-01-11 00:00:00
242,49.9082,2024-01-11 01:00:00
243,50.404,2024-01-11 02:00:00
244,50.6926,2024-01-11 03:00:00
245,49.0398,2024-01-11 04:00:00
246,49.7324,2024-01-11 05:00:00
247,49.62,2024-01-11 06:00:00
248,49.4773,2024-01-11 07:00:00
249,51.4124,2024-01-11 08:00:00
250,50.324,2024-01-11 09:00:00
251,48.9913,2024-01-11 10:00:00
252,50.7343,2024-01-11 11:00:00
253,51.6977,2024-01-11 12:00:00
254,50.826,2024-01-11 13:00:00
255,48.7845,2024-01-11 14:00:00
256,49.6126,2024-01-11 15:00:00
257,51.0135,2024-01-11 16:00:00
258,49.4339,2024-01-11 17:00:00
259,50.3551,2024-01-11 18:00:00
260,50.6197,2024-01-11 19:00:00
261,49.2585,2024-01-11 20:00:00
262,49.9524,2024-01-11 21:00:00
263,47.407,2024-01-11 22:00:00
264,49.1805,2024-01-11 23:00:00
265,49.7979,2024-01-12 00:00:00
266,49.0018,2024-01-12 01:00:00
267,51.3059,2024-01-12 02:00:00
268,48.8559,2024-01-12 03:00:00
269,49.648,2024-01-12 04:00:00
270,50.1046,2024-01-12 05:00:00
271,51.153,2024-01-12 06:00:00
272,48.8513,2024-01-12 07:00:00
273,50.9305,2024-01-12 08:00:00
274,50.0082,2024-01-12 09:00:00
275,49.2148,2024-01-12 10:00:00
276,50.3697,2024-01-12 11:00:00
277,50.1592,2024-01-12 12:00:00
278,49.5198,2024-01-12 13:00:00
279,50.0558,2024-01-12 14:00:00
280,49.6917,2024-01-12 15:00:00
281,50.0908,2024-01-12 16:00:00
282,50.5297,2024-01-12 17:00:00
283,51.2688,2024-01-12 18:00:00
284,49.0097,2024-01-12 19:00:00
285,51.7064,2024-01-12 20:00:00
286,48.4383,2024-01-12 21:00:00
287,49.8786,2024-01-12 22:00:00
288,50.4707,2024-01-12 23:00:00
289,50.2248,2024-01-13 00:00:00
290,49.5018,2024-01-13 01:00:00
291,49.8335,2024-01-13 02:00:00
292,49.6056,2024-01-13 03:00:00
293,49.5285,2024-01-13 04:00:00
294,50.6797,2024-01-13 05:00:00
295,50.2856,2024-01-13 06:00:00
296,49.4457,2024-01-13 07:00:00
297,50.7197,2024-01-13 08:00:00
298,50.2458,2024-01-13 09:00:00
299,50.6503,2024-01-13 10:00:00
300,50.5037,2024-01-13 11:00:00
301,49.3368,2024-01-13 12:00:00
302,49.5519,2024-01-13 13:00:00
303,50.5978,2024-01-13 14:00:00
304,50.4883,2024-01-13 15:00:00
305,49.9833,2024-01-13 16:00:00
306,50.0939,2024-01-13 17:00:00
307,51.0221,2024-01-13 18:00:00
308,49.5267,2024-01-13 19:00:00
309,50.4377,2024-01-13 20:00:00
310,49.8382,2024-01-13 21:00:00
311,49.8259,2024-01-13 22:00:00
312,50.879,2024-01-13 23:00:00
313,50.6603,2024-01-14 00:00:00
314,50.6508,2024-01-14 01:00:00
315,51.0444,2024-01-14 02:00:00
316,50.0168,2024-01-14 03:00:00
317,50.5456,2024-01-14 04:00:00
318,49.7518,2024-01-14 05:00:00
319,50.2593,2024-01-14 06:00:00
320,49.8959,2024-01-14 07:00:00
321,50.0776,2024-01-14 08:00:00
322,50.4761,2024-01-14 09:00:00
323,49.3454,2024-01-14 10:00:00
324,51.6739,2024-01-14 11:00:00
325,49.1952,2024-01-14 12:00:00
326,49.0286,2024-01-14 13:00:00
327,50.9265,2024-01-14 14:00:00
328,50.6333,2024-01-14 15:00:00
329,50.4993,2024-01-14 16:00:00
330,50.5027,2024-01-14 17:00:00
331,49.9902,2024-01-14 18:00:00
332,49.2822,2024-01-14 19:00:00
333,50.0606,2024-01-14 20:00:00
334,49.4583,2024-01-14 21:00:00
335,50.7801,2024-01-14 22:00:00
336,49.8824,2024-01-14 23:00:00
337,49.3396,2024-01-15 00:00:00
338,49.7429,2024-01-15 01:00:00
339,50.3303,2024-01-15 02:00:00
340,49.549,2024-01-15 03:00:00
341,49.3422,2024-01-15 04:00:00
342,50.1949,2024-01-15 05:00:00
343,50.196,2024-01-15 06:00:00
344,49.5944,2024-01-15 07:00:00
345,49.6232,2024-01-15 08:00:00
346,50.1856,2024-01-15 09:00:00
347,48.8415,2024-01-15 10:00:00
348,48.874,2024-01-15 11:00:00
349,49.4252,2024-01-15 12:00:00
350,49.8292,2024-01-15 13:00:00
351,50.2487,2024-01-15 14:00:00
352,51.1803,2024-01-15 15:00:00
353,50.6861,2024-01-15 16:00:00
354,49.872,2024-01-15 17:00:00
355,49.9848,2024-01-15 18:00:00
356,49.198,2024-01-15 19:00:00
357,49.9852,2024-01-15 20:00:00
358,49.7691,2024-01-15 21:00:00
359,50.2582,2024-01-15 22:00:00
360,49.3382,2024-01-15 23:00:00
361,50.4155,2024-01-16 00:00:00
362,51.2262,2024-01-16 01:00:00
363,49.913,2024-01-16 02:00:00
364,50.3214,2024-01-16 03:00:00
365,50.5521,2024-01-16 04:00:00
366,49.679,2024-01-16 05:00:00
367,50.1793,2024-01-16 06:00:00
368,50.0101,2024-01-16 07:00:00
369,50.0781,2024-01-16 08:00:00
370,49.3816,2024-01-16 09:00:00
371,50.0196,2024-01-16 10:00:00
372,50.3984,2024-01-16 11:00:00
373,51.1609,2024-01-16 12:00:00
374,50.7674,2024-01-16 13:00:00
375,51.7225,2024-01-16 14:00:00
376,49.3861,2024-01-16 15:00:00
377,50.6979,2024-01-16 16:00:00
378,50.1467,2024-01-16 17:00:00
379,51.7518,2024-01-16 18:00:00
380,49.3534,2024-01-16 19:00:00
381,49.3282,2024-01-16 20:00:00
382,49.5205,2024-01-16 21:00:00
383,48.3009,2024-01-16 22:00:00
384,49.5794,2024-01-16 23:00:00
385,49.3927,2024-01-17 00:00:00
386,50.1203,2024-01-17 01:00:00
387,50.2734,2024-01-17 02:00:00
388,51.5009,2024-01-17 03:00:00
389,50.7603,2024-01-17 04:00:00
390,49.5385,2024-01-17 05:00:00
391,49.2813,2024-01-17 06:00:00
392,50.3935,2024-01-17 07:00:00
393,48.9438,2024-01-17 08:00:00
394,51.4652,2024-01-17 09:00:00
395,50.9436,2024-01-17 10:00:00
396,49.6247,2024-01-17 11:00:00
397,48.6295,2024-01-17 12:00:00
398,51.0831,2024-01-17 13:00:00
399,49.9084,2024-01-17 14:00:00
400,50.9903,2024-01-17 15:00:00
401,48.7245,2024-01-17 16:00:00
402,49.5205,2024-01-17 17:00:00
403,50.0042,2024-01-17 18:00:00
404,50.0376,2024-01-17 19:00:00
405,49.6399,2024-01-17 20:00:00
406,50.4983,2024-01-17 21:00:00
407,49.1459,2024-01-17 22:00:00
408,49.8861,2024-01-17 23:00:00
409,50.0962,2024-01-18 00:00:00
410,50.4116,2024-01-18 01:00:00
411,50.5693,2024-01-18 02:00:00
412,49.1003,2024-01-18 03:00:00
413,48.7727,2024-01-18 04:00:00
414,51.0221,2024-01-18 05:00:00
415,50.2659,2024-01-18 06:00:00
416,49.4012,2024-01-18 07:00:00
417,51.2409,2024-01-18 08:00:00
418,50.0925,2024-01-18 09:00:00
419,50.9434,2024-01-18 10:00:00
420,50.054,2024-01-18 11:00:00
421,51.6486,2024-01-18 12:00:00
422,51.4043,2024-01-18 13:00:00
423,49.8008,2024-01-18 14:00:00
424,50.7773,2024-01-18 15:00:00
425,50.5163,2024-01-18 16:00:00
426,51.0949,2024-01-18 17:00:00
427,49.2281,2024-01-18 18:00:00
428,50.5488,2024-01-18 19:00:00
429,50.8467,2024-01-18 20:00:00
430,48.593,2024-01-18 21:00:00
431,49.0534,2024-01-18 22:00:00
432,48.3686,2024-01-18 23:00:00
433,49.7845,2024-01-19 00:00:00
434,50.574,2024-01-19 01:00:00
435,51.2019,2024-01-19 02:00:00
436,50.0593,2024-01-19 03:00:00
437,51.3029,2024-01-19 04:00:00
438,48.8959,2024-01-19 05:00:00
439,48.6373,2024-01-19 06:00:00
440,49.9556,2024-01-19 07:00:00
441,50.3073,2024-01-19 08:00:00
442,49.9738,2024-01-19 09:00:00
443,48.346,2024-01-19 10:00:00
444,49.9287,2024-01-19 11:00:00
445,48.9564,2024-01-19 12:00:00
446,50.5357,2024-01-19 13:00:00
447,50.2933,2024-01-19 14:00:00
448,49.2481,2024-01-19 15:00:00
449,49.5889,2024-01-19 16:00:00
450,49.1526,2024-01-19 17:00:00
451,49.9499,2024-01-19 18:00:00
452,50.7641,2024-01-19 19:00:00
453,49.2114,2024-01-19 20:00:00
454,50.4032,2024-01-19 21:00:00
455,49.5758,2024-01-19 22:00:00
456,49.3657,2024-01-19 23:00:00
457,49.9144,2024-01-20 00:00:00
458,49.1718,2024-01-20 01:00:00
459,49.5571,2024-01-20 02:00:00
460,49.0417,2024-01-20 03:00:00
461,51.5718,2024-01-20 04:00:00
462,50.0282,2024-01-20 05:00:00
463,49.4402,2024-01-20 06:00:00
464,50.1712,2024-01-20 07:00:00
465,49.9101,2024-01-20 08:00:00
466,49.8232,2024-01-20 09:00:00
467,50.4913,2024-01-20 10:00:00
468,50.606,2024-01-20 11:00:00
469,49.5756,2024-01-20 12:00:00
470,49.5393,2024-01-20 13:00:00
471,49.78,2024-01-20 14:00:00
472,48.1585,2024-01-20 15:00:00
473,48.7878,2024-01-20 16:00:00
474,51.0935,2024-01-20 17:00:00
475,51.316,2024-01-20 18:00:00
476,49.8008,2024-01-20 19:00:00
477,50.4612,2024-01-20 20:00:00
478,50.249,2024-01-20 21:00:00
479,52.4631,2024-01-20 22:00:00
480,50.8957,2024-01-20 23:00:00
481,49.8977,2024-01-21 00:00:00
482,49.2356,2024-01-21 01:00:00
483,48.7148,2024-01-21 02:00:00
484,50.1628,2024-01-21 03:00:00
485,49.3949,2024-01-21 04:00:00
486,48.8622,2024-01-21 05:00:00
487,49.4827,2024-01-21 06:00:00
488,49.1348,2024-01-21 07:00:00
489,51.3497,2024-01-21 08:00:00
490,50.7053,2024-01-21 09:00:00
491,49.9936,2024-01-21 10:00:00
492,51.184,2024-01-21 11:00:00
493,50.0619,2024-01-21 12:00:00
494,49.311,2024-01-21 13:00:00
495,51.2185,2024-01-21 14:00:00
496,50.4311,2024-01-21 15:00:00
497,49.1702,2024-01-21 16:00:00
498,49.8477,2024-01-21 17:00:00
499,49.2995,2024-01-21 18:00:00
500,48.8938,2024-01-21 19:00:00
