Sample,Reading,DateTime
115,101.7538,2024-01-02 04:30:00
116,101.344,2024-01-02 04:45:00
117,101.0392,2024-01-02 05:00:00
118,101.3807,2024-01-02 05:15:00
119,101.3994,2024-01-02 05:30:00
120,101.1811,2024-01-02 05:45:00
121,100.1153,2024-01-02 06:00:00
122,100.505,2024-01-02 06:15:00
123,102.0473,2024-01-02 06:30:00
124,102.644,2024-01-02 06:45:00
125,103.2847,2024-01-02 07:00:00
126,101.8392,2024-01-02 07:15:00
127,100.3968,2024-01-02 07:30:00
128,100.1645,2024-01-02 07:45:00
129,100.1653,2024-01-02 08:00:00
130,101.1005,2024-01-02 08:15:00
131,99.2471,2024-01-02 08:30:00
132,100.8496,2024-01-02 08:45:00
133,100.4525,2024-01-02 09:00:00
134,99.9326,2024-01-02 09:15:00
135,99.0419,2024-01-02 09:30:00
136,97.84,2024-01-02 09:45:00
137,99.2288,2024-01-02 10:00:00
138,99.5262,2024-01-02 10:15:00
139,98.5073,2024-01-02 10:30:00
140,97.7896,2024-01-02 10:45:00
141,98.1505,2024-01-02 11:00:00
142,100.2075,2024-01-02 11:15:00
143,99.9116,2024-01-02 11:30:00
144,98.5853,2024-01-02 11:45:00
145,98.7885,2024-01-02 12:00:00
146,98.9065,2024-01-02 12:15:00
147,96.8074,2024-01-02 12:30:00
148,97.7163,2024-01-02 12:45:00
149,98.1936,2024-01-02 13:00:00
150,99.3621,2024-01-02 13:15:00
151,101.2175,2024-01-02 13:30:00
152,101.8662,2024-01-02 13:45:00
153,101.0643,2024-01-02 14:00:00
154,99.7492,2024-01-02 14:15:00
155,102.1404,2024-01-02 14:30:00
156,101.5516,2024-01-02 14:45:00
157,101.0987,2024-01-02 15:00:00
158,100.7473,2024-01-02 15:15:00
159,100.7014,2024-01-02 15:30:00
160,100.3611,2024-01-02 15:45:00
161,99.7365,2024-01-02 16:00:00
162,99.3233,2024-01-02 16:15:00
163,99.4969,2024-01-02 16:30:00
164,99.1587,2024-01-02 16:45:00
165,98.7695,2024-01-02 17:00:00
166,99.2345,2024-01-02 17:15:00
167,99.2346,2024-01-02 17:30:00
168,100.8178,2024-01-02 17:45:00
169,98.1866,2024-01-02 18:00:00
170,99.713,2024-01-02 18:15:00
171,100.9206,2024-01-02 18:30:00
172,98.7783,2024-01-02 18:45:00
173,98.8364,2024-01-02 19:00:00
174,98.8512,2024-01-02 19:15:00
175,97.9291,2024-01-02 19:30:00
176,97.8503,2024-01-02 19:45:00
177,97.4957,2024-01-02 20:00:00
178,99.824,2024-01-02 20:15:00
179,100.7189,2024-01-02 20:30:00
180,101.6477,2024-01-02 20:45:00
181,101.8029,2024-01-02 21:00:00
182,100.2459,2024-01-02 21:15:00
183,99.7,2024-01-02 21:30:00
184,100.2305,2024-01-02 21:45:00
185,99.0614,2024-01-02 22:00:00
186,99.9847,2024-01-02 22:15:00
187,99.773,2024-01-02 22:30:00
188,99.5038,2024-01-02 22:45:00
189,100.2925,2024-01-02 23:00:00
190,100.6046,2024-01-02 23:15:00
191,100.0983,2024-01-02 23:30:00
192,101.1122,2024-01-02 23:45:00
193,99.8056,2024-01-03 00:00:00
194,100.4183,2024-01-03 00:15:00
195,100.8266,2024-01-03 00:30:00
196,100.3,2024-01-03 00:45:00
197,100.5035,2024-01-03 01:00:00
198,99.2265,2024-01-03 01:15:00
199,100.2902,2024-01-03 01:30:00
200,100.0367,2024-01-03 01:45:00
201,99.5552,2024-01-03 02:00:00
202,100.6328,2024-01-03 02:15:00
203,99.809,2024-01-03 02:30:00
204,98.5987,2024-01-03 02:45:00
205,97.6181,2024-01-03 03:00:00
206,98.8781,2024-01-03 03:15:00
207,98.0623,2024-01-03 03:30:00
208,100.2229,2024-01-03 03:45:00
209,98.2823,2024-01-03 04:00:00
210,100.3244,2024-01-03 04:15:00
211,100.417,2024-01-03 04:30:00
212,100.2049,2024-01-03 04:45:00
213,99.653,2024-01-03 05:00:00
214,100.1163,2024-01-03 05:15:00
215,100.0475,2024-01-03 05:30:00
216,101.0263,2024-01-03 05:45:00
217,100.8212,2024-01-03 06:00:00
218,100.7101,2024-01-03 06:15:00
219,100.1698,2024-01-03 06:30:00
220,100.0676,2024-01-03 06:45:00
221,100.3244,2024-01-03 07:00:00
222,98.6879,2024-01-03 07:15:00
223,97.8682,2024-01-03 07:30:00
224,99.1767,2024-01-03 07:45:00
225,99.5774,2024-01-03 08:00:00
226,99.5386,2024-01-03 08:15:00
227,99.6936,2024-01-03 08:30:00
228,100.0984,2024-01-03 08:45:00
229,99.5831,2024-01-03 09:00:00
230,99.0077,2024-01-03 09:15:00
231,99.4816,2024-01-03 09:30:00
232,98.7566,2024-01-03 09:45:00
233,99.4971,2024-01-03 10:00:00
234,98.1156,2024-01-03 10:15:00
235,99.6072,2024-01-03 10:30:00
236,100.1504,2024-01-03 10:45:00
237,100.3357,2024-01-03 11:00:00
238,101.1194,2024-01-03 11:15:00
239,102.2825,2024-01-03 11:30:00
240,102.5107,2024-01-03 11:45:00
241,100.1007,2024-01-03 12:00:00
242,98.9189,2024-01-03 12:15:00
243,98.6809,2024-01-03 12:30:00
244,99.1001,2024-01-03 12:45:00
245,99.836,2024-01-03 13:00:00
246,99.232,2024-01-03 13:15:00
247,99.6305,2024-01-03 13:30:00
248,99.0615,2024-01-03 13:45:00
249,98.7927,2024-01-03 14:00:00
250,97.8889,2024-01-03 14:15:00
251,97.6913,2024-01-03 14:30:00
252,97.1674,2024-01-03 14:45:00
253,97.1389,2024-01-03 15:00:00
254,98.9455,2024-01-03 15:15:00
255,98.4074,2024-01-03 15:30:00
256,101.2543,2024-01-03 15:45:00
257,101.322,2024-01-03 16:00:00
258,101.0918,2024-01-03 16:15:00
259,99.9917,2024-01-03 16:30:00
260,100.6245,2024-01-03 16:45:00
261,99.9191,2024-01-03 17:00:00
262,100.0531,2024-01-03 17:15:00
263,102.3413,2024-01-03 17:30:00
264,101.5524,2024-01-03 17:45:00
265,102.1211,2024-01-03 18:00:00
266,100.8519,2024-01-03 18:15:00
267,100.5648,2024-01-03 18:30:00
268,101.9891,2024-01-03 18:45:00
269,100.8281,2024-01-03 19:00:00
270,102.2109,2024-01-03 19:15:00
271,102.1846,2024-01-03 19:30:00
272,101.023,2024-01-03 19:45:00
273,101.2853,2024-01-03 20:00:00
274,101.775,2024-01-03 20:15:00
275,101.8021,2024-01-03 20:30:00
276,99.8483,2024-01-03 20:45:00
277,99.2394,2024-01-03 21:00:00
278,99.2448,2024-01-03 21:15:00
279,99.4044,2024-01-03 21:30:00
280,100.1417,2024-01-03 21:45:00
281,100.2591,2024-01-03 22:00:00
282,98.9796,2024-01-03 22:15:00
283,99.6279,2024-01-03 22:30:00
284,100.289,2024-01-03 22:45:00
285,100.7061,2024-01-03 23:00:00
286,101.467,2024-01-03 23:15:00
287,101.7774,2024-01-03 23:30:00
288,101.6575,2024-01-03 23:45:00
289,101.0971,2024-01-04 00:00:00
290,99.2731,2024-01-04 00:15:00
291,99.8778,2024-01-04 00:30:00
292,100.1014,2024-01-04 00:45:00
293,100.3154,2024-01-04 01:00:00
294,99.0717,2024-01-04 01:15:00
295,98.3772,2024-01-04 01:30:00
296,99.8119,2024-01-04 01:45:00
297,99.8327,2024-01-04 02:00:00
298,100.4963,2024-01-04 02:15:00
299,100.3729,2024-01-04 02:30:00
300,100.2878,2024-01-04 02:45:00
301,101.0459,2024-01-04 03:00:00
302,100.2677,2024-01-04 03:15:00
303,100.2739,2024-01-04 03:30:00
304,99.7757,2024-01-04 03:45:00
305,99.4519,2024-01-04 04:00:00
306,99.3381,2024-01-04 04:15:00
307,99.7366,2024-01-04 04:30:00
308,99.3847,2024-01-04 04:45:00
309,100.6995,2024-01-04 05:00:00
310,99.6845,2024-01-04 05:15:00
311,99.611,2024-01-04 05:30:00
312,99.3319,2024-01-04 05:45:00
313,100.8346,2024-01-04 06:00:00
314,100.7611,2024-01-04 06:15:00
315,101.4615,2024-01-04 06:30:00
316,99.686,2024-01-04 06:45:00
317,100.0206,2024-01-04 07:00:00
318,100.8151,2024-01-04 07:15:00
319,100.6446,2024-01-04 07:30:00
320,101.4101,2024-01-04 07:45:00
321,100.5215,2024-01-04 08:00:00
322,101.6335,2024-01-04 08:15:00
323,103.2125,2024-01-04 08:30:00
324,101.9222,2024-01-04 08:45:00
325,100.9446,2024-01-04 09:00:00
326,101.9692,2024-01-04 09:15:00
327,102.8001,2024-01-04 09:30:00
328,101.4895,2024-01-04 09:45:00
329,100.6645,2024-01-04 10:00:00
330,100.2115,2024-01-04 10:15:00
331,98.9381,2024-01-04 10:30:00
332,98.4299,2024-01-04 10:45:00
333,97.9972,2024-01-04 11:00:00
334,97.907,2024-01-04 11:15:00
335,98.5037,2024-01-04 11:30:00
336,99.1634,2024-01-04 11:45:00
337,100.8098,2024-01-04 12:00:00
338,99.6683,2024-01-04 12:15:00
339,100.6537,2024-01-04 12:30:00
340,100.265,2024-01-04 12:45:00
341,100.141,2024-01-04 13:00:00
342,100.706,2024-01-04 13:15:00
343,99.4838,2024-01-04 13:30:00
344,99.9828,2024-01-04 13:45:00
345,100.1378,2024-01-04 14:00:00
346,100.5396,2024-01-04 14:15:00
347,100.638,2024-01-04 14:30:00
348,102.6564,2024-01-04 14:45:00
349,101.2855,2024-01-04 15:00:00
350,100.422,2024-01-04 15:15:00
351,99.7345,2024-01-04 15:30:00
352,99.3142,2024-01-04 15:45:00
353,98.9463,2024-01-04 16:00:00
354,100.3325,2024-01-04 16:15:00
355,101.5112,2024-01-04 16:30:00
356,100.5442,2024-01-04 16:45:00
357,99.6318,2024-01-04 17:00:00
358,100.1665,2024-01-04 17:15:00
359,99.6196,2024-01-04 17:30:00
360,100.3033,2024-01-04 17:45:00
361,100.395,2024-01-04 18:00:00
362,98.9123,2024-01-04 18:15:00
363,100.6314,2024-01-04 18:30:00
364,102.0583,2024-01-04 18:45:00
365,100.8893,2024-01-04 19:00:00
366,100.2736,2024-01-04 19:15:00
367,100.4488,2024-01-04 19:30:00
368,100.6151,2024-01-04 19:45:00
369,101.0233,2024-01-04 20:00:00
370,102.5255,2024-01-04 20:15:00
371,101.6086,2024-01-04 20:30:00
372,100.4075,2024-01-04 20:45:00
373,99.0439,2024-01-04 21:00:00
374,98.6729,2024-01-04 21:15:00
375,99.0412,2024-01-04 21:30:00
376,100.9439,2024-01-04 21:45:00
377,100.1949,2024-01-04 22:00:00
378,100.3378,2024-01-04 22:15:00
379,100.2217,2024-01-04 22:30:00
380,101.2248,2024-01-04 22:45:00
381,103.1316,2024-01-04 23:00:00
382,101.7143,2024-01-04 23:15:00
383,100.7595,2024-01-04 23:30:00
384,101.4714,2024-01-04 23:45:00
385,101.6437,2024-01-05 00:00:00
386,102.8126,2024-01-05 00:15:00
387,102.4944,2024-01-05 00:30:00
388,101.4227,2024-01-05 00:45:00
389,101.5275,2024-01-05 01:00:00
390,102.0671,2024-01-05 01:15:00
391,102.1854,2024-01-05 01:30:00
392,101.9863,2024-01-05 01:45:00
393,102.3504,2024-01-05 02:00:00
394,102.6977,2024-01-05 02:15:00
395,103.1323,2024-01-05 02:30:00
396,102.7765,2024-01-05 02:45:00
397,101.7931,2024-01-05 03:00:00
398,101.3872,2024-01-05 03:15:00
399,102.0569,2024-01-05 03:30:00
400,100.7046,2024-01-05 03:45:00
401,100.825,2024-01-05 04:00:00
402,100.2235,2024-01-05 04:15:00
403,100.1823,2024-01-05 04:30:00
404,101.2782,2024-01-05 04:45:00
405,101.0668,2024-01-05 05:00:00
406,100.7885,2024-01-05 05:15:00
407,99.3281,2024-01-05 05:30:00
408,100.2013,2024-01-05 05:45:00
409,100.7218,2024-01-05 06:00:00
410,102.4522,2024-01-05 06:15:00
411,101.4396,2024-01-05 06:30:00
412,101.2049,2024-01-05 06:45:00
413,101.0679,2024-01-05 07:00:00
414,102.1672,2024-01-05 07:15:00
415,101.4313,2024-01-05 07:30:00
416,101.253,2024-01-05 07:45:00
417,101.4242,2024-01-05 08:00:00
418,101.1649,2024-01-05 08:15:00
419,100.4136,2024-01-05 08:30:00
420,100.4642,2024-01-05 08:45:00
421,101.2912,2024-01-05 09:00:00
422,99.98,2024-01-05 09:15:00
423,100.1057,2024-01-05 09:30:00
424,99.4439,2024-01-05 09:45:00
425,100.6862,2024-01-05 10:00:00
426,99.1095,2024-01-05 10:15:00
427,98.8736,2024-01-05 10:30:00
428,99.551,2024-01-05 10:45:00
429,101.0947,2024-01-05 11:00:00
430,100.7071,2024-01-05 11:15:00
431,99.9953,2024-01-05 11:30:00
432,101.6897,2024-01-05 11:45:00
433,99.8796,2024-01-05 12:00:00
434,97.9368,2024-01-05 12:15:00
435,98.9518,2024-01-05 12:30:00
436,98.8144,2024-01-05 12:45:00
437,98.251,2024-01-05 13:00:00
438,99.4132,2024-01-05 13:15:00
439,99.8087,2024-01-05 13:30:00
440,99.3584,2024-01-05 13:45:00
441,98.3986,2024-01-05 14:00:00
442,99.6642,2024-01-05 14:15:00
443,100.3501,2024-01-05 14:30:00
444,100.1558,2024-01-05 14:45:00
445,101.7711,2024-01-05 15:00:00
446,100.2767,2024-01-05 15:15:00
447,98.8207,2024-01-05 15:30:00
448,98.5518,2024-01-05 15:45:00
449,98.9452,2024-01-05 16:00:00
450,99.4807,2024-01-05 16:15:00
451,99.4193,2024-01-05 16:30:00
452,99.9104,2024-01-05 16:45:00
453,98.8109,2024-01-05 17:00:00
454,100.467,2024-01-05 17:15:00
455,100.253,2024-01-05 17:30:00
456,101.1826,2024-01-05 17:45:00
457,101.1363,2024-01-05 18:00:00
458,101.2065,2024-01-05 18:15:00
459,101.3573,2024-01-05 18:30:00
460,101.3531,2024-01-05 18:45:00
461,101.5256,2024-01-05 19:00:00
462,102.2642,2024-01-05 19:15:00
463,101.7618,2024-01-05 19:30:00
464,101.8713,2024-01-05 19:45:00
465,101.2292,2024-01-05 20:00:00
466,102.1565,2024-01-05 20:15:00
467,100.9008,2024-01-05 20:30:00
468,102.2514,2024-01-05 20:45:00
469,101.5399,2024-01-05 21:00:00
470,99.7902,2024-01-05 21:15:00
471,99.9684,2024-01-05 21:30:00
472,99.365,2024-01-05 21:45:00
473,100.312,2024-01-05 22:00:00
474,99.6311,2024-01-05 22:15:00
475,99.3402,2024-01-05 22:30:00
476,97.8375,2024-01-05 22:45:00
477,98.0792,2024-01-05 23:00:00
478,96.474,2024-01-05 23:15:00
479,96.1063,2024-01-05 23:30:00
480,97.9588,2024-01-05 23:45:00
481,99.2783,2024-01-06 00:00:00
482,99.8778,2024-01-06 00:15:00
483,99.0441,2024-01-06 00:30:00
484,99.288,2024-01-06 00:45:00
485,99.4983,2024-01-06 01:00:00
486,98.6063,2024-01-06 01:15:00
487,100.3775,2024-01-06 01:30:00
488,101.0539,2024-01-06 01:45:00
489,100.5388,2024-01-06 02:00:00
490,100.4014,2024-01-06 02:15:00
491,100.4685,2024-01-06 02:30:00
492,98.4904,2024-01-06 02:45:00
493,98.7208,2024-01-06 03:00:00
494,98.4908,2024-01-06 03:15:00
495,98.0421,2024-01-06 03:30:00
496,98.3765,2024-01-06 03:45:00
497,100.4814,2024-01-06 04:00:00
498,100.9138,2024-01-06 04:15:00
499,100.1256,2024-01-06 04:30:00
500,100.6032,2024-01-06 04:45:00
